src,tgt,tgt_augmented
There are some pictures like this in the book.,किताब बै कुछ चित्र य प्रकार छन।,कुछ चित्र य प्रकार छन।
We were first three sisters and later three brothers.,हम पैंली तीन बैणी भयां और पछां तीन भै।,तीन बैणी तीन बैणी भयां और पछां तीन भै
"You saw this poem will surely be printed, after that your mind will write today.","तुम देखिया यौ कविता जरूर छापी जालि, वीक बाद तुमर मन आजि लेखणक करल।","तुमर मन आजि यौ कविता जरूर छापी जालि, वीक बाद तुमर मन आजि लेखणक करल।"
"A little later, from a temple?s chaos, I saw that everything didn?t go away, but who could this man be, friend!",थ्वाड़ देर में सामणी एक मन्दिर बटि एक बाबाल देखौ कि सब न्है गयीं पर यौ आदिम को हुनौल यार!,"I'm sorry, I'm sorry, I'm sorry, I'm sorry, आदिम को हुनौल यार!"
Ruwali Jyu is truly a master of words.,रुवाली ज्यू वास्तव में शब्द साधक छी।,ज्यू वास्तव में शब्द साधक छी।
"Even then, they laid the foundation stone of Gandhi Temple in Takul village near Nainital.",इदिनै उनूल नैनताल क नजदीक ताकुल नामक गौं में गांधी मंदिरक आधारशिला लै धरी।,Archives: गांधी मंदिर
The village population here has decreased a bit.,तहैं लै गोंनुकि आबादी आदुक है गोछी बल।,ैं लै गोंनुकि आबादी आदुक है गोछी बल।
"Before the Kargil war, Operation Life Protector was ongoing in Jammu-Kashmir to fight covertly with extremists, curb them, and protect the local people.",कारगिल युद्ध है पैली जम्मू-कश्मीर में छद्मयुद्ध दगै लड़ण क लिजी आपरेशन जीवन रक्षक चल रौछी जमें उग्रवादियों पर नकेल डाली जैंछी और स्थानीय जनता कि रक्षा करी जैंछी।,जम्मू-कश्मीर में छद्मयुद्ध
But he handed that wise one to Damu from the kitchen with his hands.,पै उ स्यैणि भौ कें हा्थ में धरिबेर भ्यार दमु्कें दि अै।,स्यैणि भौ कें हा्थ में धरिबेर भ्यार दमु्कें दि अै।
"That?s why now you change your hearts and return to God, so your sins can be forgiven.","यैक लिजी ऑब तुम आपण मनों कैं बदइबेर परमेश्वरक तरफ लौट आओ, जैल तुमार पाप माफ करी जाओ।","1 ऑब तुम आपण मनों कैं बदइबेर परमेश्वरक तरफ लौट आओ, जैल तुमार पाप माफ करी जाओ।"
"They said don?t lack anything in the snow; I?ll do it, you stay with us.",उनल लयौ बतैयै नै ह्यून में कमी झन करिये मीहैलै करों तु हमरैवा रये।,ल ल बतैयै नै ह्यून में कमी झन करिये मीहैलै करों तु हमरैवा रये।
Now ten times have passed.,आ्ब दस कां बार बाजि गई।,्ब दस कां बार बाजि गई।
"We became without a big grandfather now, doing calculations without a calculator.",हम आब बिन बड़बाज्यूक भयां बिना कैलक्यूलेटराक हिसाब-किताब करणी।,बिन बड़बाज्यूक भयां बिना कैलक्यूलेटराक हिसाब-किताब करणी।
"When we don?t speak this language in our society, family, and with kids, then its development can?t happen.","जब जाणे हम य भाष कैं आपण समाज, परवार, नानतिनन में न बुलां तब जाणे येक बिकास न है सकन।","हम य भाष कैं आपण समाज, परवार, नानतिनन में न जाणे येक बिकास न है सकन।"
Chanu is very happy today.,चनु आज भौत खुसि छा।,भौत खुसि छा। भौत खुसि छा।
"The Holy Spirit said to Philip, Go forward and walk alongside the chariot.","पवित्र आत्माल फिलिप्पुस धैं कौ, अघिल जैबेर रथक दगाड़-दगाड़ हिट।","फिलिप्पुस धैं कौ, अघिल जैबेर रथक दगाड़-दगाड़ हिट।"
"First, that place?s name was Luz, but Yakub named it Bethel, which means God?s house.","पैली उ जॉगक नाम लूज छी लेकिन याकूबल वीक नाम बेतेल धरौ, जैक अर्थ छु परमेश्वरक घर।","जॉगक नाम लूज छी लेकिन याकूबल वीक नाम बेतेल धरौ, जैक अर्थ छु परमेश्वरक घर।"
Damu came inside from the door and said hello to Father.,दमु द्वार बटि भितेराँ अै बेर बुवा हें नमस्कार कूँ।,बेर बटि भितेराँ अै बेर बटि भितेराँ अै बेर बुवा हें नमस्कार कूँ।
"Earlier, Ram Singh Dhoni taught at Junior High School Jhaladungra and High School Bhetabadauli Dhyari.",उबाद रामसिंह धौनी जुनियर हाईस्कूल झालडुंगरा व हाईस्कूल भेटाबड़ौली ध्याड़ी में अध्यापन करौ।,रामसिंह धौनी जुनियर हाईस्कूल झालडुंगरा व हाईस्कूल भेटाबड़ौली ध्याड़ी में अध्यापन करौ।
"Whether it?s stage hosting or a discussion, your presentation style is unique and impresses everyone too.","मंच संचालन हो या बिचार गोष्ठी, तुमर प्रस्तुतिक अंदाज अलगै हुंछ और सबन कैं प्रभावित लै करूं।","हो या बिचार गोष्ठी, तुमर प्रस्तुतिक अंदाज अलगै हुंछ और सबन कैं प्रभावित लै करूं।"
"Who knows everything, even they took that road.","को सबै ल आल पत्त नै, उसी द्वियै बस तो उनि यो बाट बै।","ल आल पत्त नै, उसी द्वियै बस तो उनि यो बाट बै।"
Who has written in Kumaoni and Hindi genres?,आपूंल कुमाउनी और हिंदी कि को-को विधाओं में आ्पणि कलम चलै राखै?,कि को-को विधाओं में आ्पणि
"The king?s life oath, you?re a spy!",रॉजक जीवनक कसम तुम जासूसै छा!,are here: मुख्यपृष्ठ /जजजक जीवनक कसम तुम जासूसै छा!
"Hearing the commotion, neighbors gathered from nearby too.",हल्ल-गुल्ल सुणि वली-पली पड़ोस बटी लै मैंस एकबटी गा्य।,-गुल्ल सुणि वली-पली पड़ोस बटी लै मैंस एकबटी गा्य।
"Good, tell me one thing, how long did you take this scooter and how long did you learn to ride it?",अच्छा एक बात बताओ यौ स्कूटर कधिन ले तुमूल और कधिन सिख ली तुमूल चलूँण?,बात बताओ यौ स्कूटर कधिन ले तुमूल तुमूल
Bhagu knows both worry and more.,भागुलि लै और भौ लै चितै जानी।,ुलि लै और भौ लै चितै जानी।
Now Chami has started shouting loudly.,अब चमि जरा ठुलि-ठुलि हांकण भै गोय।,जरा ठुलि-ठुलि हांकण भै गोय।
"After that, when Abram was ninety-nine years old, Lord God spoke to him again, saying, I?m God, who is almighty over everything.","वीक बाद जब अब्राम निन्यानबे सालक हौ, तब प्रभु परमेश्वरल वीक दगाड़ फिर बात करिबेर कौ, मी परमेश्वर छूं, जो सबों है सामर्थी छूं।","बाद जब अब्राम निन्यानबे सालक हौ, तब प्रभु परमेश्वरल वीक दगाड़ फिर बात करिबेर कौ, मी परमेश्वर छूं, जो सबों है सामर्थी छूं।"
"He gave breath, life, and everything to all.","उं सबों कैं प्राण, जिन्दगी और सब चीज-बस्त दिंनी।","कैं प्राण, जिन्दगी और सब चीज-बस्त दिंनी।"
Damu?s mother started asking question after question.,दमुवेकि इजैल सवाल पर सवाल पुछण शुरु कर दी।,वेकि इजैल सवाल पर सवाल पुछण शुरु कर दी।
The meaning of the song is that the host doing good deeds is religious.,मली गीतक् भाव छ कि शुभकाज करणी जजमान धार्मिक प्रवृत्तिक छन।,इस भाव छ कि शुभकाज करणी जजमान धार्मिक प्रवृत्तिक छन।
Damu became somewhat hopeless.,दमु कुछ हतास जस हैगो।,कुछ हतास जस हैगो।
Yakub spent seventeen years in Egypt.,याकूबल सत्र साल मिस्र देश मिं बिताईं।,कूबल सत्र सत्र साल मिस्र देश मिं बिताईं।
She made this plan to catch him.,वीलि इनरु कें पकड़नैकि ए चाल चलि।,. . . . . . कें पकड़नैकि ए चाल चलि।
"Paul said to the people, Brothers, listen to me.","पौलुसल मैंसों धैं कौ, भाइयो, मेरि बात सुणो।","लु मैंसों धैं कौ, भाइयो, मेरि बात सुणो।"
"The one who says, Son, when vacation comes next year, I?ll find you a good bride.","उ कूनी वालि भै, च्यला अघिल साल जब छुट्टी आलै त त्यर लिजी एक भली-भलि ब्वारि खोजि द्यूंल।","कूनी वालि भै, च्यला अघिल साल जब छुट्टी आलै त त्यर लिजी एक भली-भलि ब्वारि खोजि द्यूंल।"
"In 1968-69, I passed the B.Ed exam from AEC Training College and Center Pachmarhi and Sagar University.",वर्ष 1968-69 में एईसी ट्रेनिंग कालेज एवं सेंटर पचमढ़ी है सागर विश्वविद्यालय की बीएड परीक्षा ले उत्तीर्ण भयूं।,-69 में एईसी ट्रेनिंग कालेज एवं सेंटर पचमढ़ी है सागर विश्वविद्यालय की बीएड परीक्षा ले उत्तीर्ण
The eyes became teary while talking about it.,आँखा लपालप भरी गोछया उनुका बात करन करना।,पालप भरी गोछया उनुका बात करन करना।
The court won?t hear the case without a competent authority?s complaint under the law.,न्यायालय य कानूनक अधीन सक्षम अधिकारिक परिवाद बिना मामिल नि सुणल।,कानूनक अधीन सक्षम अधिकारिक परिवाद
"When both Puran?s kids, Chandrika Prasad, became famous too.",जब बै पूरनौक च्योल चंद्रिकापरसाद भौ हरुलिक लै चौल हैगे।,पूरनौक च्योल चंद्रिकापरसाद भौ हरुलिक लै चौल हैगे।
"At the conference, anger was seen over the Uttarakhand government?s indifference toward our language and writers too.",सम्मेलन में उत्तराखंड सरकार द्वारा हमरि भाषा और साहित्यकारों क प्रति दिखाई उदासीनता पर लै गुस्स देखण में आछ।,उत्तराखंड सरकार द्वारा हमरि भाषा और साहित्यकारों क प्रति दिखाई उदासीनता पर लै गुस्स देखण में आछ।
"Where on one hand, stinging nettle is very beneficial for health, on the other hand, it can contribute to strengthening the hill economy too.",जां एक तरफ सिसूण सेहतै लिजी भौत फायदेमंद छू वांई दुसरि तरफ यो पहाड़कि अर्थव्यवस्था कैं मजबूत करण में लै आपण योगदान दी सकों।,तरफ सिसूण सेहतै लिजी भौत फायदेमंद छू वांई दुसरि तरफ यो पहाड़कि अर्थव्यवस्था कैं मजबूत करण में लै आपण योगदान दी सकों।
"If Grandfather isn?t here today, we wouldn?t have anything with us.",आज बुबु नि रहय तो आम्क पास सैत कुछ नि रहौय।,. . . . . . कुछ नि रहय तो आम्क पास सैत कुछ नि रहौय।
"In the world of Kumaoni folk music and literature, Heera Singh Rana is a well-known name.",कुमाउनी लोकसंगीत व साहित्य संसार में हीरा सिंह राणा एक जाणी-मानी नाम छु।,You are here: Home / लोकसंगीत लोकसंगीत व साहित्य संसार
"The campaign?s outline was prepared by the Uttarakhand Folk Language Literature Forum Delhi, which, along with the Uttarakhand Unity Forum Delhi and local organizations, is running it with full enthusiasm.",य अभियान कि रूपरेखा उत्तराखंड लोकभाषा साहित्य मंच दिल्ली द्वारा तयार करीगे जैकैं उत्तराखंड एकता मंच दिल्ली समेत आपण आपण क्षेत्रों क संस्था पुर जोरशोर क साथ चलूं रईं।,कि रूपरेखा उत्तराखंड लोकभाषा साहित्य मंच दिल्ली द्वारा तयार
"Manmohan Jyu gestured to Sonia Jyu for tea, and since no sign came from there, it felt better to stay standing.",मनमोहन ज्यू लि सोनिया ज्यू क उज्याण चाय और वां बटी के इशार जस नि आय तो ठाडै रूण में भलाई जस चितै।,ठाडै रूण लि सोनिया ज्यू क उज्याण चाय और वां बटी के इशार जस नि आय तो ठाडै रूण में भलाई जस चितै।
Beating and thrashing happen daily.,गाई-ढाई मारण-थेचंण रोजै कै हौय।,"I love you, I love you-ढाई-ढाई मारण-थेचंण रोजै कै हौय।"
The greenery was sown again.,हर्याव बोई जानेर भै।,्याव बोई जानेर भै।
Madhu?s health suddenly worsened again.,मधुलिकि अचानक फिरि तब्यत खराब है गे।,तुम अचानक अचानक फिरि तब्यत खराब है गे।
"In Kumaoni food, things like churdkani, jhungar rice, jhungar kheer, hill greens, mandua flour rolls, and many other types of Kumaoni dishes are made.","कुमाउनी खाण में यां चुड़काणि, झुंगर भात, झुंगर खीर, पहाड़ाक साग, मंडुव पिसूंवक मडुवा रोल आदि कई प्रकारक कुमाउनी खाण बणूनी।","कुमाउनी खाण में यां चुड़काणि, झुंगर भात, झुंगर खीर, पहाड़ाक साग, मंडुव पिसूंवक मडुवा रोल आदि कई प्रकारक कुमाउनी खाण बणूनी।"
"But somehow, I gathered courage and started thinking about what to do.",लेकिन जसी-तसी मैंल हिकमत जुटै बेर सोचण शुरू करौ कि के करी जावो।,ी-तसी मैंल हिकमत जुटै बेर सोचण शुरू करौ कि के करी जावो।
"Today, we don?t have any friends.",इष्टा आज हमर क्वे नि हौय।,हमर क्वे नि हौय।
The wise ones invited me to read the letter too.,सैणिं ल कय मैं कैं चिट्ठी पढन जै नऊंन।,कय मैं कैं चिट्ठी पढन जै नऊंन।
"In it, there wasn?t even a seat for one passenger, so the kids had to sit with Kaki somehow.",उ में ले आदु सवारी लिजी सीट नि भै त नान्तिन कैका ले काखियूँन बैठ जनेर भ्या।,ले आदु सवारी लिजी सीट नि भै त नान्तिन कैका ले काखियूँन बैठ जनेर भ्या।
Kushal felt good that he could give his mother and father the happiness of a new job and the facilities that come with it too.,कुशल कं लै यो भल लागौ कि उ लै आपण इज बाबन कं आपण नय नौकरी और वीक दगाड़ मिलणी वाल सुविधानौक सुख दी सकौल।,आपण नय नौकरी और वीक दगाड़ मिलणी वाल सुविधानौक सुख दी सकौल।
"Kaushi said to the cows and calves, Your anger killed me, now you die wandering in this forest too, or else the jackals and dogs will tear you apart.","कौशि गोरू-बांछां हें कैं, तुमार गुसें मर गई, अब तुम लै यो भ्योव में घुरी बेर मर जाओ नतर तुमूकें स्याव-कुकुर ज्यूनै उचेड़ि द्याल।","२-बांछां हें कैं, तुमार गुसें मर गई, अब तुम लै यो भ्योव में घुरी बेर मर जाओ नतर तुमूकें स्याव-कुकुर ज्यूनै उचेड़ि द्याल।"
"Today, your afternoon meal is forgiven.",आज तुमरि दोपहरकि भनपान माफ।,आज की दोपहरकि भनपान माफ।
And they whipped Jesus and handed him to the soldiers to be nailed to the cross.,और यीशु कैं हन्टरैकि अत्था मार लगवैबेर सूली मिं चणूढ़क लिजी सिपैनोंक हात मिं दी दे।,अत्था मार कैं हन्टरैकि अत्था मार लगवैबेर सूली मिं चणूढ़क लिजी सिपैनोंक हात मिं दी दे।
Vyas Jyu got angry.,व्यास ज्यू क्रोधित हैग्याय।,ज्यू क्रोधित हैग्याय।
"On Sunday night, Devaki?s grandfather told Damu, Today we?ll keep our stuff in your house and start staying at your place.","एतवारौक दिन रात्ति पर देबकी बुबु दमु हैं कें, आज हम अपण सामान तुमा्र मकान में धर दिनू और तुमा्र ड्यार में रूण शुरू कर दिनू।","रौक दिन रात्ति पर देबकी बुबु दमु हैं कें, आज हम अपण सामान तुमा्र मकान में धर दिनू और तुमा्र ड्यार में रूण शुरू कर दिनू।"
"In every village house, girls worship by offering flower garlands.",गौंपन घर घर जैबेर चेलि फूलनैल देई पुज करनी।,ौंपन घर घर घर जैबेर चेलि फूलनैल देई पुज करनी।
"And suddenly, God?s angel struck Herod because he didn?t glorify God.","और एकाएक परमेश्वरक दूतल हैरोदेस कैं मॉर दे, किलैकि वील परमेश्वरक महिमा नि करि।",लैकि वील परमेश्वरक महिमा नि करि।
"In the bright month, on the fifth day, birud is soaked.",यो भदौक शुक्ल पक्ष में पंचमी दिन बिरुड़ भिझूनी।,शुक्ल पक्ष में पंचमी दिन बिरुड़ भिझूनी।
The house?s front yard was decorated with Aipan.,घरक खव आगण में बणाई ऐपण।,खव आगण में बणाई ऐपण।
"At that time, Israel?s king was Herod.",उ बखत इस्रायलक रॉज हैरोदेस छी।,The New York Times इस्रायलक रॉज हैरोदेस छी।
The meaning of hill words became unclear.,पहाड़ी शब्दोक अर्थै भानमजू है गोय।,"भानमजू है गोय, शब्दोक अर्थै भानमजू है गोय।"
Thoughts about him kept coming to mind.,मन में वीक ना्क ना्क बिचार ऊण लागी।,वीक ना्क ना्क ना्क ना्क ना्क बिचार
"Like five or seven handfuls of kids, those from Rambadi and Bajeri were getting ready and being taken away.","यासै पाँच-सातेक पुन्तुरि नौव छै, रामबाड़ि और बजेरि वाल्नाक् पैलिए तैयार है जांछी और ल्हि जांण् ले पंणछी।","-सातेक पुन्तुरि नौव छै, रामबाड़ि और बजेरि वाल्नाक् पैलिए तैयार है जांछी और ल्हि जांण् ले पंणछी।"
Then we sat in the boat to kill him.,तब बॉट मिं हम उकैं मारणक लिजी बैठि रूंल।,You are here: Home / Unlabelled / मिं हम उकैं मारणक लिजी बैठि रूंल।
It was wedding time.,ब्यावक टैम छी।,"टैम, टैम, टैम, टैम छी।"
"He became happy, saying, Wait a bit, let me wear colorful trousers first and take the toothbrush in hand.","उ खुश है गे, कूँण लागी, जरा रुको जरा रंगाई पिछोड़ पैर ल्यु, हाथ में दातुल लि ल्युं।","है गे, कूँण लागी, जरा रुको जरा रंगाई"
"After hearing Chanda?s whole story, the boss replied, Look, Chanda, I know everything about you, even the bosses know everything.","चनरदा कि पुरि बात सुणण बाद बौस ल जबाब दे, देख भइ चनर मीकै या ज्ये लै ह्रौ सब पत्त छ और माथ वलां के लै सब पत्त छ।","नरदा कि पुरि बात सुणण बाद बौस ल जबाब दे, देख भइ चनर मीकै या ज्ये लै ह्रौ सब पत्त छ।"
"Damu went outside in the ICU veranda, wandering here and there.",दमु आइ सी यू भ्यार बरंड में यथां-उथां भटकण फैगो।,सी यू भ्यार बरंड में यथां-उथां भटकण फैगो।
"I trust in Lord Jesus that I?ll soon send Timothy to you, so I can be happy knowing about you.","मिकैं प्रभु यीशु मिं यौ बातक भरौस छु, कि मी जल्दी तुमर पास तिमोथी कैं भेजुंल, जैल मी तुमर बारि मिं जाणिबेर खुशि है सकुं।","1 . . . . . . . प्रभु यीशु मिं यौ बातक भरौस छु,"
But one thing he hadn?t eaten before got stuck in his mind.,पै एक चीज़ जो वील पैली नि खाई भयि उ में मन अटक गोय वीक।,चीज़ जो वील पैली नि खाई भयि उ में मन अटक गोय वीक।
"Then Rami?s mother said to Radha, Queen! You do it too, go quickly, fill a pot with water, grind some spices, and make tea.","तब रमिए इजल राधा हैं कय, महारानी! तू लै करि ले के, जा जल्दी एक लोटी भरि बेर आद और काइ मर्च कुटि बेर चहा बनै ल्या।","रमिए इजल राधा हैं कय, महारानी! तू लै करि ले के, जा जल्दी एक लोटी भरि बेर आद।"
"In big cities, a lot of effort had to be put into making space in this area.",महानगरों में यौ क्षेत्र में जग बनाणि में भौत मेहनत करण पड़ी।,यौ क्षेत्र में यौ क्षेत्र में यौ क्षेत्र में यौ क्षेत्र में जग बनाणि में भौत मेहनत करण पड़ी।
"God appeared to Yakub at night and said, Yakub, Yakub!","परमेश्वरल रात मिं याकूब कैं दर्शन दिबेर कौ, याकूब, याकूब!","or, or, or, or, or, or, or, or, or, or, or, or, or, or, or, or!"
"That Champak?s grandfather said, Grandfather, Grandfather, they?re calling you inside.","वल चम्पक बुबु हें कौ, बुबु-बुबु तुमुकें भितेर बुल्हा मइ।","1 बुबु-बुबुबु हें कौ, बुबु-बुबुबु तुमुकें भितेर बुल्हा मइ।"
"A little talking, a lot of explaining.","थ्वाड़ कूण, भौत समझण।","कड़ कड़ कूण, भौत समझण।"
"Even with the Holy Spirit, which God gave to those who obey him.","उस्सै पवित्र आत्माक लै, जो परमेश्वरल आपण मानणिवॉलों कैं दी रॉखी।","Search for: पवित्र आत्माक लै, जो परमेश्वरल आपण मानणिवॉलों"
"When something comes out naturally from your mouth, it?s a natural thing, born from society, and returns to society.","एक स्वाभाविक रूपल जभत करै तुमा्र मुख बटी कोई चीज झड़ैं, उ स्वाभाविक चीज छु, समाज बटी पैद हरै, समाज कें लौटूंण छु।","भाविक रूपल जभत करै तुमा्र मुख बटी कोई चीज झड़ैं, उ स्वाभाविक चीज छु, समाज बटी पैद हरै, समाज कें लौटूंण छु।"
"Then the question arises, how can we remove whatever is obstructing our hill language and culture?",फिरी इमें सवाल आं कि हमर पहाड़कि भाषा और संस्कृति परि जो काउ बाधव लागणि छा उकें कसिक हटई जाव।,छा उकें एक सवाल आं कि हमर पहाड़कि भाषा और संस्कृति परि जो काउ बाधव लागणि छा उकें कसिक हटई जाव।।
"In today?s time, a new dimension has been added to the routine?checking messages on the mobile at night.",अच्यालों समयानुसार दिनचर्या में एक नई आयाम जुड़िगो- रत्तै मोबाइल में मैसेज चैक करनक।,लों समयानुसार दिनचर्या में एक नई आयाम जुड़िगो- रत्तै मोबाइल में मैसेज चैक करनक।
"Here, if a wise one had ten silver coins and lost one, she?d light a lamp and sweep inside until she found it.","यां यैसि को स्यैणि ह्‌वेलि जैक पास चांदिक दस सिक्क हो और एक हरै जाओ, तब उ बत्ती जलैबेर भितेर तब तलक झाड़ि-झूड़िबेर चालि, जब तलक उ मिल नि जाओ।","ैसि को स्यैणि ह् वेलि जैक पास चांदिक दस सिक्क हो और एक हरै जाओ, तब उ बत्ती जलैबेर भितेर तब तलक झाड़ि-झूड़िबेर चालि, जब तलक उ मिल नि जाओ।"
Havaldar Pancham Singh?s body was brought back with honor.,हौलदार पंचम सिंहकि बौडी ससम्मान ल्याई गै।,ल ल पंचम सिंहकि बौडी ससम्मान ल्याई गै।
"In between, I kept the door of whose house closed to save them.",यो बीच में मैल कत्तु बाखयनाक घराक द्वार बंद हुण है बचयीं।,में मैल कत्तु बाखयनाक घराक
"In my son?s fate, where is such a girl?",म्या्र च्यला्क भाग में येसि च्येलि काँ छ।,लाला्क भाग में येसि च्येलि काँ छ।
The fan isn?t running.,लू नीं चलैनि।,» Unlabelled » I'll be back.
"As God?s servant Amos wrote many years ago, when our ancestors were in the desert, they had God?s tent with them, which Moses made according to God?s command.","जस भौत साल पैली परमेश्वरक सेवक आमोसल लिख रॉखछी, जब हमार पितर रेगिस्तान मिं छी, तब उनर पास परमेश्वरक तम्बू लै छी, जकैं मोशेशल परमेश्वरक हुकुमक अनुसार बणाछी।","ौत साल पैली परमेश्वरक सेवक आमोसल लिख रॉखछी, जब हमार पितर रेगिस्तान मिं छी, तब उनर पास परमेश्वरक तम्बू लै छी, जकैं मोशेशल परमेश्वरक हुकुमक अनुसार बणाछी।"
"At that time, the people in Judah province ran away and didn?t go to the plains.","उ बखत जो मैंस यहूदा प्रदेश मिं ह्‌वाल, उं भाजिबेर डॉनों मिं न्है जाया।","ब ब ब, जो मैंस यहूदा प्रदेश मिं ह् वाल, उं भाजिबेर डॉनों मिं न्है जाया।"
We came here to greet them.,हम उनुकैं पैलाग करणक लिजी यां ऐ रयूं।,नुकैं पैलाग करणक लिजी यां ऐ रयूं।
"But the more they forbade him, the more he preached about him.","लेकिन जतुक उनुल मना करौ, उं उतुकै उनर बारि मिं जादे प्रचार करण भैटीं।",ज ज ज ज ज ज ज ज ज ज
The more good it is for that man to have a big millstone tied around his neck and thrown into the deep lake so he can?t tempt others to sin and escape the harsh punishment from God.,"यौ हबेर उ मैंसक लिजी यौ जादे भल हुंछी कि क्वे मैंस वीक गव मिं ठुलौ घटक पाथर बादिबेर उकैं गैल ताल मिं खित दिंछी, जैल उ दुसर कैं पाप करणक लिजी नि उकसै सको और परमेश्वरक जरियल मिलणी कठिन सजा है बचि जाओ।","लिजी यौ जादे भल हुंछी कि क्वे मैंस वीक गव मिं ठुलौ घटक पाथर बादिबेर उकैं गैल ताल मिं खित दिंछी, जैल उ दुसर कैं पाप करणक लिजी नि उकसै सको और परमेश्वरक जरियल मिलणी कठिन सजा है बचि जाओ।"
"The elder son?s color is red, and he has a beard on his face.",ज्यठ च्यलक रंग लाल छी और वीक आङ मिं बाव छी।,ज्यठ च्यलक रंग लाल छी और वीक आङ मिं बाव छी।
They?re staying in Pant Rath.,यां पंत राठ रुँनीं।,डॉ. पंत राठ रुँनीं।
The writer of this dictionary is the Kumaoni language expert scholar Dr. Narayan Dutt Paliwal.,य कोशक लेखक कुमाउनी भाषाक मर्मज्ञ बिद्वान डॉ नारायण दत्त पालीवाल छी।,कुमाउनी भाषाक मर्मज्ञ बिद्वान डॉ नारायण दत्त पालीवाल
"He called his brothers and said, Hey, look, my money is here!","वील आपण भैनों कैं बुलैबेर कौ, अरे, देखौ म्यार रुपैं यैं छन!","भैनों कैं बुलैबेर कौ, अरे, देखौ म्यार रुपैं यैं छन!"
"Hey, brother! Today is a hungry day for you, understand what you need to understand, now eat and drink at the wedding and go.","अरे भैटो! आइ भोव‌्क दिन छ तुमा्र पास, भोव समझ लिया ज्ये समझण छ, अब ब्याव खै-पिबेर जाया।","टो! आइ भोव ्क दिन छ तुमा्र पास, भोव समझ लिया ज्ये समझण छ, अब ब्याव खै-पिबेर जाया।"
"A little kid stole everything, who brought it from where?","एक नान नान ज लूट्यास चै, कै बटि ल्याल्यै?","नान ज लूट्यास चै, कै बटि ल्याल्यै?"
"And then, the wedding procession started with drums and trumpets.","और, फिर बाज गाजा क दगाड़ बर्यात बाट् लागछि।","फिर बाज गाजा क दगाड़ बर्यात बाट् लागछि।, फिर बाज गाजा क दगाड़ बर्यात बाट् लागछि।"
Then Joseph left his tunic in her hand and ran away from there.,तब यूसुफ आपण कुर्त वीक हात मिं छोड़िबेर वांबे भाजि गोय।,सुफ आपण कुर्त वीक हात मिं छोड़िबेर वांबे भाजि गोय।
"Oh God, what are you doing, six months later she died in an accident?","दै पै क्ये करछी मैं, वीक बाद छै महैण बाद एक अक्सीडैन्ट में ऊँ मर गयीं।","क्ये करछी मैं, वीक बाद छै महैण बाद एक अक्सीडैन्ट में ऊँ मर गयीं।"
"And at wedding time, Jesus and his disciples were returning to Bethany village from outside the city.",और ब्याव बखत यीशु और शिष्य नगर है भ्यार बैतनिया गौं मिं वापिस जानै रईं।,बखत यीशु और शिष्य नगर है भ्यार बैतनिया
This dictionary was dedicated to his elder brother by Dr. Paliwal Jyu.,डॉ पालीवाल ज्यू द्वारा आपुण ठुल भै कें समर्पित य शब्दकोश।,डॉ. रवीन्द्रनाथ टैगोर वाल ज्यू द्वारा आपुण ठुल भै कें समर्पित य शब्दकोश।
"Hearing this, the chief soldier came to Paul and asked there, Tell me, are you a Roman?","यौ सुणिबेर ठुल सैपल पौलुसक पास ऐबेर उधैं पुछौ, बता, के तु रोमी छै?","ऐबेर ठुल सैपल पौलुसक पास ऐबेर उधैं पुछौ, बता, के तु रोमी छै?"
Kaushi came to the kitchen with Manu.,कौशि मनू दगाड़ रस्या में ऐ जें।,दगाड़ दगाड़ रस्या में ऐ जें।
"God lives in his form and in everyone?s family, and in everyone?s heart, showering faith and love on a common man; how can I see their ruin?",भगवान स्वरुप वीक सैब और सैबक परवार वीक अन्तरमन में विराजमान छ जनूल एक साधारण आदिम पर यतुक विश्वास और प्रेम बरसै राखौ भला मैं उनरि बरबादी कें कसिक देख सकुल।,सैब और सैबक परवार वीक सैब और सैबक परवार वीक अन्तरमन में विराजमान छ जनूल एक साधारण आदिम पर यतुक विश्वास और प्रेम बरसै राखौ भला मैं उनरि बरबादी कें कसिक देख सकुल।
His birthplace was Sikandria.,वीक जनम-भूमी सिकंदरिया छी।,म-भूमी सिकंदरिया छी।
"The poet knows earlier, the army knows later.","अघिल बै काव् जाणी उड़नै, पछिल बै फौज।","बै काव् जाणी उड़नै, पछिल बै फौज।"
"Then they signaled to Dhaniya?s friend, and Puni?s mother called Pal into the room.",फिरि कौंछा धनिया कै दगड़ ब्या कुलि पुजींत पाराक् पुनियेलि मैं हीं इशार करि बेर पाल् कमर् में बुला ले।,अछा धनिया कै दगड़ ब्या कुलि पुजींत पाराक् पुनियेलि मैं हीं इशार करि बेर पाल् कमर् में बुला ले।
"Today, my friend untied the knot in my chest stuck to you, praising you, my friend.",आज म्या्र ईष्टा त्वील म्यर छाति में लागि गाँठ खोलि है त्येरि जै-जैकार है जो ईष्टा।,ईष्टा त्वील म्यर छाति में लागि गाँठ खोलि है त्येरि जै-जैकार है जो ईष्टा।
"I told my disciples, Go to Galilee, there they?ll see me.","जैबेर म्यार शिष्यों धैं कया कि गलील हुं जाओ, वां उं मिकैं देखॉल।","वां उं शिष्यों धैं कया कि गलील हुं जाओ, वां उं मिकैं देखॉल।"
"The bride came home, they made tea for the bride to drink.","ब्यौलि घर वापस ऐं, ब्यौलि चहा पिणक लिजी कें।","ब्यौलि घर वापस ऐं, ब्यौलि चहा पिणक लिजी कें।"
